Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 2,350,000","Ampang, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)","4,452 sqft (floor),",6 Beds,8 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/beverly-heights-for-sale-by-carol-lim-27127013
"RM 3,200,000","Jalan 6/4, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)","4,160 sqft (floor),",4 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/sunway-montana-for-sale-by-lucas-choo-42877381
"RM 3,199,000","Jalan 6/4, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)","4,170 sqft (floor),",4 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/sunway-montana-for-sale-by-lucas-choo-42820647
"RM 3,200,000","Jalan 6/4, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)","4,340 sqft (floor),",5 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/sunway-montana-for-sale-by-lucas-choo-42820527
"RM 3,300,000","Jalan 6/4, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)","4,160 sqft (floor),",4 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/sunway-montana-for-sale-by-lucas-choo-42877009
"RM 3,250,000","Jalan 6/4, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)","4,170 sqft (floor),",4 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/sunway-montana-for-sale-by-lucas-choo-42849547
"RM 3,599,000","Jalan 6/4, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)","4,170 sqft (floor),",4 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/sunway-montana-for-sale-by-lucas-choo-42822343
"RM 1,550,000","Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)","4,000 sqft",6 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/new-freehold-greenary-semi-d-bangalow-private-landed-house-batu-caves-gombak-m-for-sale-by-chris-lee-43478739
"RM 788,000","jln jinjiang setia ,jinjiang utara tambahan, Jinjang Utara, Jinjang, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","2,600 sqft (floor),",3 Beds,2 Baths,Semi-Detached House,Leasehold,https://www.propertyguru.com.my/property-listing/semi-d-house-at-jinjang-utara-for-sale-by-mike-yap-60020714
"RM 2,100,000","Damai Impian, Bandar damai perdana, Alam Damai, Cheras, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","3,500 sqft (floor),",6 Beds,6 Baths,Semi-Detached House,Leasehold,https://www.propertyguru.com.my/property-listing/alam-damai-for-sale-by-billy-chan-60353548
"RM 1,800,000","Jalan 6/4, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","3,064 sqft (floor),",4 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/sunway-montana-for-sale-by-ahmad-fadli-ayub-500018894
"RM 1,800,000","Jalan K, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","4,500 sqft (floor),",6 Beds,3 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/freehold-2-storey-semi-d-taman-melawati-for-sale-by-nadia-jaafar-60354108
"RM 1,280,000","Taman Setapak, Setapak, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","2,880 sqft (floor),",5 Beds,3 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/2-storey-semi-d-taman-setapak-gombak-kl-for-sale-by-nadia-jaafar-60353980
"RM 4,500,000","Jalan Setiakasih, Damansara Heights, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","4,000 sqft (floor),",6 Beds,5 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/damansara-heights-modern-semi-d-setiakasih-for-sale-by-joshua-selvan-33272154
"RM 4,100,000","Jalan Setiabakti, Damansara Heights, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","2,750 sqft (floor),",4 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/semi-d-house-at-damansara-heights-for-sale-by-joshua-selvan-39968481
"RM 3,880,000","Jalan Setiabakti, Damansara Heights, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","3,500 sqft (floor),",4 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/semi-d-house-at-damansara-heights-for-sale-by-joshua-selvan-36751248
"RM 3,788,000","Jalan Setiabakti, Medan Damansara, Damansara Heights, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","4,000 sqft (floor),",5 Beds,3 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/damansara-heights-for-sale-by-joshua-selvan-42551497
"RM 3,000,000","Jalan Awan Selimpat, Taman Yarl, Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","4,600 sqft (floor),",5 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/semi-d-house-at-taman-yarl-for-sale-by-jennifer-poon-43181023
"RM 2,920,000","TTDI KL , Kuala Lumpur, Taman Tun Dr Ismail, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","2,700 sqft (floor),",4 Beds+1,3 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/taman-tun-dr-ismail-for-sale-by-yumiko-kew-500017854
"RM 2,800,000","Taman Tiara Desa, Kuchai Lama, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","4,550 sqft (floor),",6 Beds,5 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/desa-tiara-kuchai-lama-for-sale-by-yenn-chong-37306453
"RM 4,500,000","Damansara Heights, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","5,080 sqft (floor),",5 Beds,5 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/damansara-heights-for-sale-by-joel-loke-29375070
"RM 3,850,000","Damansara Heights, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","3,500 sqft (floor),",4 Beds,3 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/semi-d-house-at-damansara-heights-for-sale-by-joel-loke-42297345
